  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
1210A 1218A 14JAN21 30APR21    @    AM   1101  H  NAK  TPE  0  N   N
 615A  623A 14JAN21 10APR21    @    AM    803  H  NAK  TPE  0  N   N
 635A  643A 14JAN21 01JAN21 -----F- AM   1103  H  NAK  TPE  0  N   N
 635A  643A 10FEB21 14FEB21 S--WTFS AM   1103  H  NAK  TPE  0  N   N
 640A  648A 14JAN21 10APR21    @    AM    603  H  NAK  TPE  0  N   N
 700A  708A 14JAN21 10APR21    @    AM    805  H  NAK  TPE  0  N   N
 710A  718A 14JAN21 10APR21 ------S AM   1607  H  NAK  TPE  0  N   N
 710A  718A 14JAN21 01JAN21 -----F- AM   1607  H  NAK  TPE  0  N   N
 710A  718A 09FEB21 15FEB21 SMTWTF- AM   1607  H  NAK  TPE  0  N   N
 720A  728A 14JAN21 10APR21    @    AM    109  H  NAK  TPE  0  N   N
 725A  733A 14JAN21 01JAN21 -MTWTFS AM   1505  H  NAK  TPE  0  N   N
 725A  733A 14JAN21 10APR21 -MTWTFS AM   1505  H  NAK  TPE  0  N   N
 725A  733A 14FEB21 14FEB21 S------ AM   1505  H  NAK  TPE  0  N   N
 735A  743A 14JAN21 10APR21    @    AM    609  H  NAK  TPE  0  N   N
 740A  748A 14JAN21 10APR21    @    AM    205  H  NAK  TPE  0  N   N
 750A  758A 14JAN21 09APR21 -----F- AM   1305  H  NAK  TPE  0  N   N
 750A  758A 13FEB21 13FEB21 ------S AM   1305  H  NAK  TPE  0  N   N
 800A  808A 14JAN21 10APR21    @    AM    809  H  NAK  TPE  0  N   N
 810A  818A 14JAN21 10APR21    @    AM    613  H  NAK  TPE  0  N   N
 820A  828A 14JAN21 10APR21    @    AM    113  H  NAK  TPE  0  N   N
 825A  833A 14JAN21 01JAN21 -----F- AM   1509  H  NAK  TPE  0  N   N
 825A  833A 14JAN21 10APR21 ----T-S AM   1509  H  NAK  TPE  0  N   N
 825A  833A 09FEB21 14FEB21 S-TW-F- AM   1509  H  NAK  TPE  0  N   N
 835A  843A 14JAN21 10APR21    @    AM    615  H  NAK  TPE  0  N   N
 840A  848A 14JAN21 10APR21 ------S AM   1209  H  NAK  TPE  0  N   N
 840A  848A 14JAN21 04JAN21 -M---F- AM   1209  H  NAK  TPE  0  N   N
 840A  848A 08FEB21 15FEB21 SMT-TF- AM   1209  H  NAK  TPE  0  N   N
 850A  858A 14JAN21 10APR21 --TWT-S AM   1307  H  NAK  TPE  0  N   N
 850A  858A 14JAN21 01JAN21 -----F- AM   1307  H  NAK  TPE  0  N   N
 850A  858A 12FEB21 14FEB21 S----F- AM   1307  H  NAK  TPE  0  N   N
 900A  908A 14JAN21 10APR21    @    AM    813  H  NAK  TPE  0  N   N
 910A  918A 14JAN21 10APR21    @    AM    619  H  NAK  TPE  0  N   N
 920A  928A 14JAN21 10APR21    @    AM    117  H  NAK  TPE  0  N   N
 925A  933A 14JAN21 01JAN21 -----FS AM   1513  H  NAK  TPE  0  N   N
 925A  933A 14JAN21 06FEB21 ------S AM   1513  H  NAK  TPE  0  N   N
 925A  933A 09FEB21 15FEB21    @    AM   1513  H  NAK  TPE  0  N   N
 925A  933A 20FEB21 10APR21 ------S AM   1513  H  NAK  TPE  0  N   N
 935A  943A 14JAN21 10APR21    @    AM    621  H  NAK  TPE  0  N   N
 940A  948A 14JAN21 06FEB21 ------S AM   1213  H  NAK  TPE  0  N   N
 940A  948A 14JAN21 01JAN21 ----TF- AM   1213  H  NAK  TPE  0  N   N
 940A  948A 08FEB21 15FEB21    @    AM   1213  H  NAK  TPE  0  N   N
 940A  948A 17FEB21 17FEB21 ---W--- AM   1213  H  NAK  TPE  0  N   N
 940A  948A 20FEB21 10APR21 ------S AM   1213  H  NAK  TPE  0  N   N
 950A  958A 14JAN21 10APR21 ------S AM   1309  H  NAK  TPE  0  N   N
 950A  958A 09FEB21 14FEB21 S-TWTF- AM   1309  H  NAK  TPE  0  N   N
1000A 1008A 14JAN21 10APR21    @    AM    817  H  NAK  TPE  0  N   N
1010A 1018A 14JAN21 10APR21    @    AM    625  H  NAK  TPE  0  N   N
1020A 1028A 14JAN21 10APR21    @    AM    121  H  NAK  TPE  0  N   N
1025A 1033A 14JAN21 01JAN21 -----F- AM   1517  H  NAK  TPE  0  N   N
1025A 1033A 09FEB21 14FEB21 S-TWTFS AM   1517  H  NAK  TPE  0  N   N
1035A 1043A 14JAN21 10APR21    @    AM    627  H  NAK  TPE  0  N   N
1040A 1048A 14JAN21 06FEB21 ------S AM   1217  H  NAK  TPE  0  N   N
1040A 1048A 14JAN21 01JAN21 ----TF- AM   1217  H  NAK  TPE  0  N   N
1040A 1048A 08FEB21 15FEB21    @    AM   1217  H  NAK  TPE  0  N   N
1040A 1048A 20FEB21 10APR21 ------S AM   1217  H  NAK  TPE  0  N   N
1050A 1058A 11FEB21 12FEB21 ----TF- AM   1311  H  NAK  TPE  0  N   N
1100A 1108A 14JAN21 10APR21    @    AM    821  H  NAK  TPE  0  N   N
1110A 1118A 14JAN21 06FEB21 ------S AM   1631  H  NAK  TPE  0  N   N
1110A 1118A 14JAN21 03JAN21 S---TF- AM   1631  H  NAK  TPE  0  N   N
1110A 1118A 08FEB21 16FEB21    @    AM   1631  H  NAK  TPE  0  N   N
1110A 1118A 20FEB21 10APR21 ------S AM   1631  H  NAK  TPE  0  N   N
1120A 1128A 14JAN21 10APR21    @    AM    125  H  NAK  TPE  0  N   N
1125A 1133A 14JAN21 01JAN21 -----F- AM   1521  H  NAK  TPE  0  N   N
